group,variable,value
Gandabldore,InfoVis,2
Gandabldore,Stats,3
Gandabldore,Maths,2
Gandabldore,Art,5
Gandabldore,Computer Usage,7
Gandabldore,Programming,5
Gandabldore,CG Programming,2
Gandabldore,HCI Programming,5
Gandabldore,UX Evaluation,8
Gandabldore,Communication,9
Gandabldore,Collaboration,6
Gandabldore,Code Repository,3
Appa ,InfoVis,4
Appa ,Stats,4
Appa ,Maths,5
Appa ,Art,4
Appa ,Computer Usage,6
Appa ,Programming,7
Appa ,CG Programming,3
Appa ,HCI Programming,2
Appa ,UX Evaluation,8
Appa ,Communication,10
Appa ,Collaboration,10
Appa ,Code Repository,7
Ravagers,InfoVis,4
Ravagers,Stats,4
Ravagers,Maths,6
Ravagers,Art,2
Ravagers,Computer Usage,7
Ravagers,Programming,5
Ravagers,CG Programming,5
Ravagers,HCI Programming,5
Ravagers,UX Evaluation,7
Ravagers,Communication,10
Ravagers,Collaboration,9
Ravagers,Code Repository,5
Senjougahara,InfoVis,4
Senjougahara,Stats,5
Senjougahara,Maths,5
Senjougahara,Art,6
Senjougahara,Computer Usage,7
Senjougahara,Programming,7
Senjougahara,CG Programming,3
Senjougahara,HCI Programming,7
Senjougahara,UX Evaluation,2
Senjougahara,Communication,8
Senjougahara,Collaboration,8
Senjougahara,Code Repository,9
Björky,InfoVis,6
Björky,Stats,8
Björky,Maths,8
Björky,Art,4
Björky,Computer Usage,7
Björky,Programming,7
Björky,CG Programming,6
Björky,HCI Programming,6
Björky,UX Evaluation,7
Björky,Communication,6
Björky,Collaboration,8
Björky,Code Repository,6
Sthlm,InfoVis,3
Sthlm,Stats,3
Sthlm,Maths,3
Sthlm,Art,2
Sthlm,Computer Usage,6
Sthlm,Programming,2
Sthlm,CG Programming,2
Sthlm,HCI Programming,3
Sthlm,UX Evaluation,3
Sthlm,Communication,9
Sthlm,Collaboration,8
Sthlm,Code Repository,3
Baby Yoda (Grogu),InfoVis,3
Baby Yoda (Grogu),Stats,6
Baby Yoda (Grogu),Maths,7
Baby Yoda (Grogu),Art,6
Baby Yoda (Grogu),Computer Usage,9
Baby Yoda (Grogu),Programming,5
Baby Yoda (Grogu),CG Programming,3
Baby Yoda (Grogu),HCI Programming,4
Baby Yoda (Grogu),UX Evaluation,4
Baby Yoda (Grogu),Communication,9
Baby Yoda (Grogu),Collaboration,10
Baby Yoda (Grogu),Code Repository,6
dorp,InfoVis,1
dorp,Stats,3
dorp,Maths,4
dorp,Art,3
dorp,Computer Usage,7
dorp,Programming,5
dorp,CG Programming,6
dorp,HCI Programming,3
dorp,UX Evaluation,2
dorp,Communication,8
dorp,Collaboration,8
dorp,Code Repository,5
tigerShark,InfoVis,5
tigerShark,Stats,6
tigerShark,Maths,5
tigerShark,Art,5
tigerShark,Computer Usage,8
tigerShark,Programming,6
tigerShark,CG Programming,7
tigerShark,HCI Programming,5
tigerShark,UX Evaluation,4
tigerShark,Communication,8
tigerShark,Collaboration,6
