group,variable,value
Gandabldore,InfoVis,2.0
Gandabldore,Maths,2.5
Gandabldore,Programming,3.75
Gandabldore,Collaboration,7.5
Gandabldore,UX,8.0
Gandabldore,Art,5.0
Appa ,InfoVis,4.0
Appa ,Maths,4.5
Appa ,Programming,4.75
Appa ,Collaboration,10.0
Appa ,UX,8.0
Appa ,Art,4.0
Ravagers,InfoVis,4.0
Ravagers,Maths,5.0
Ravagers,Programming,5.0
Ravagers,Collaboration,9.5
Ravagers,UX,7.0
Ravagers,Art,2.0
Senjougahara,InfoVis,4.0
Senjougahara,Maths,5.0
Senjougahara,Programming,6.5
Senjougahara,Collaboration,8.0
Senjougahara,UX,2.0
Senjougahara,Art,6.0
Björky,InfoVis,6.0
Björky,Maths,8.0
Björky,Programming,6.25
Björky,Collaboration,7.0
Björky,UX,7.0
Björky,Art,4.0
Sthlm,InfoVis,3.0
Sthlm,Maths,3.0
Sthlm,Programming,2.5
Sthlm,Collaboration,8.5
Sthlm,UX,3.0
Sthlm,Art,2.0
Baby Yoda (Grogu),InfoVis,3.0
Baby Yoda (Grogu),Maths,6.5
Baby Yoda (Grogu),Programming,4.5
Baby Yoda (Grogu),Collaboration,9.5
Baby Yoda (Grogu),UX,4.0
Baby Yoda (Grogu),Art,6.0
dorp,InfoVis,1.0
dorp,Maths,3.5
dorp,Programming,4.75
dorp,Collaboration,8.0
dorp,UX,2.0
dorp,Art,3.0
tigerShark,InfoVis,5.0
tigerShark,Maths,5.5
tigerShark,Programming,6.25
tigerShark,Collaboration,7.0
tigerShark,UX,4.0
tigerShark,Art,5.0
PorcupineLover1337,InfoVis,2.0
PorcupineLover1337,Maths,3.5
PorcupineLover1337,Programming,2.25
PorcupineLover1337,Collaboration,7.5
PorcupineLover1337,UX,4.0
PorcupineLover1337,Art,7.0
Neko27,InfoVis,2.0
Neko27,Maths,4.5
Neko27,Programming,3.25
Neko27,Collaboration,4.5
Neko27,UX,7.0
Neko27,Art,7.0
Manama Jeff,InfoVis,3.0
Manama Jeff,Maths,3.0
Manama Jeff,Programming,3.5
Manama Jeff,Collaboration,8.0
Manama Jeff,UX,3.0
Manama Jeff,Art,6.0
wagame,InfoVis,3.0
wagame,Maths,3.5
wagame,Programming,3.5
wagame,Collaboration,8.5
wagame,UX,8.0
wagame,Art,7.0
loooh,InfoVis,3.0
loooh,Maths,5.5
loooh,Programming,4.75
loooh,Collaboration,5.0
loooh,UX,2.0
loooh,Art,2.0
Xiao,InfoVis,5.0
Xiao,Maths,8.0
Xiao,Programming,6.25
Xiao,Collaboration,7.0
Xiao,UX,5.0
Xiao,Art,3.0
C3I2,InfoVis,8.0
C3I2,Maths,8.0
C3I2,Programming,6.25
C3I2,Collaboration,6.5
C3I2,UX,6.0
C3I2,Art,5.0
Anchovy,InfoVis,3.0
Anchovy,Maths,4.5
Anchovy,Programming,5.5
Anchovy,Collaboration,7.5
Anchovy,UX,4.0
Anchovy,Art,8.0
Jaskier,InfoVis,3.0
Jaskier,Maths,4.5
Jaskier,Programming,5.5
Jaskier,Collaboration,9.0
Jaskier,UX,5.0
Jaskier,Art,8.0
SuperstitiousOtter,InfoVis,5.0
SuperstitiousOtter,Maths,6.5
SuperstitiousOtter,Programming,7.0
SuperstitiousOtter,Collaboration,6.0
SuperstitiousOtter,UX,3.0
SuperstitiousOtter,Art,4.0
Chock,InfoVis,5.0
Chock,Maths,6.5
Chock,Programming,7.25
Chock,Collaboration,6.0
Chock,UX,7.0
Chock,Art,1.0
Moony04,InfoVis,6.0
Moony04,Maths,6.5
Moony04,Programming,6.25
Moony04,Collaboration,9.5
Moony04,UX,5.0
Moony04,Art,8.0
sentient_polyhedron,InfoVis,7.0
sentient_polyhedron,Maths,4.5
sentient_polyhedron,Programming,6.0
sentient_polyhedron,Collaboration,6.5
sentient_polyhedron,UX,3.0
sentient_polyhedron,Art,2.0
Rani,InfoVis,1.0
Rani,Maths,3.5
Rani,Programming,3.25
Rani,Collaboration,4.0
Rani,UX,1.0
Rani,Art,3.0
glas444,InfoVis,1.0
glas444,Maths,4.5
glas444,Programming,2.5
glas444,Collaboration,6.0
glas444,UX,2.0
glas444,Art,4.0
fvmlrvgj,InfoVis,3.0
fvmlrvgj,Maths,5.5
fvmlrvgj,Programming,5.5
fvmlrvgj,Collaboration,7.5
fvmlrvgj,UX,5.0
fvmlrvgj,Art,1.0
Supporter24,InfoVis,2.0
Supporter24,Maths,5.0
Supporter24,Programming,6.5
Supporter24,Collaboration,7.5
Supporter24,UX,3.0
Supporter24,Art,3.0
Frog,InfoVis,2.0
Frog,Maths,4.5
Frog,Programming,4.25
Frog,Collaboration,4.5
Frog,UX,3.0
Frog,Art,4.0
ztekzpaden1,InfoVis,1.0
ztekzpaden1,Maths,5.0
ztekzpaden1,Programming,3.0
ztekzpaden1,Collaboration,7.5
ztekzpaden1,UX,3.0
ztekzpaden1,Art,10.0
Aiya12,InfoVis,1.0
Aiya12,Maths,4.0
Aiya12,Programming,3.5
Aiya12,Collaboration,9.0
Aiya12,UX,3.0
Aiya12,Art,2.0
RedMouse,InfoVis,1.0
RedMouse,Maths,4.0
RedMouse,Programming,2.25
RedMouse,Collaboration,9.0
RedMouse,UX,6.0
RedMouse,Art,10.0
Rouy Saila,InfoVis,5.0
Rouy Saila,Maths,5.5
Rouy Saila,Programming,6.25
Rouy Saila,Collaboration,7.0
Rouy Saila,UX,2.0
Rouy Saila,Art,3.0
KusinVitamin,InfoVis,2.0
KusinVitamin,Maths,5.5
KusinVitamin,Programming,5.25
KusinVitamin,Collaboration,7.5
KusinVitamin,UX,5.0
KusinVitamin,Art,8.0
Kpmsd,InfoVis,2.0
Kpmsd,Maths,5.0
Kpmsd,Programming,4.75
Kpmsd,Collaboration,5.5
Kpmsd,UX,3.0
Kpmsd,Art,2.0
Oliver Queen,InfoVis,2.0
Oliver Queen,Maths,3.0
Oliver Queen,Programming,3.75
Oliver Queen,Collaboration,5.0
Oliver Queen,UX,3.0
Oliver Queen,Art,2.0
dez2pacito,InfoVis,3.0
dez2pacito,Maths,4.0
dez2pacito,Programming,5.5
dez2pacito,Collaboration,6.0
dez2pacito,UX,3.0
dez2pacito,Art,5.0
Snowflake,InfoVis,2.0
Snowflake,Maths,6.5
Snowflake,Programming,4.0
Snowflake,Collaboration,8.0
Snowflake,UX,3.0
Snowflake,Art,5.0
CrispyChicken,InfoVis,3.0
CrispyChicken,Maths,3.5
CrispyChicken,Programming,6.5
